Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.64E+12,03/01/2022 04:00,LTCUSD,149.65,151.16,146.16,148.54,11789.54351
1.64E+12,02/01/2022 04:00,LTCUSD,150.35,153.3,147.99,149.65,7487.27248
1.64E+12,01/01/2022 04:00,LTCUSD,147.83,151,146.63,150.35,9348.7834
1.64E+12,31/12/2021 04:00,LTCUSD,148.35,152.6,143.66,147.83,12610.84951
1.64E+12,30/12/2021 04:00,LTCUSD,144.9,150.01,144.9,148.35,9152.67404
1.64E+12,29/12/2021 04:00,LTCUSD,148.66,150.94,142.88,144.9,18176.86205
1.64E+12,28/12/2021 04:00,LTCUSD,151.23,153.41,144.65,148.66,22208.276
1.64E+12,27/12/2021 04:00,LTCUSD,156.75,161.24,149.49,151.23,14858.15578
1.64E+12,26/12/2021 04:00,LTCUSD,153.96,157.82,153.47,156.75,10377.31097
1.64E+12,25/12/2021 04:00,LTCUSD,161.12,163.7,153.24,153.96,17584.5408
1.64E+12,24/12/2021 04:00,LTCUSD,165.49,165.94,160.24,161.12,33754.278
1.64E+12,23/12/2021 04:00,LTCUSD,157.46,166.8,153.82,165.49,64186.91239
1.64E+12,22/12/2021 04:00,LTCUSD,156.33,158.59,153.24,157.46,12747.91556
1.64E+12,21/12/2021 04:00,LTCUSD,153.59,157,151.85,156.33,21127.00829
1.64E+12,20/12/2021 04:00,LTCUSD,154.86,157.42,145.35,153.59,52565.6546
1.64E+12,19/12/2021 04:00,LTCUSD,154.43,161.01,151.16,154.86,75023.52131
1.64E+12,18/12/2021 04:00,LTCUSD,146.53,156.13,145.46,154.43,15359.33588
1.64E+12,17/12/2021 04:00,LTCUSD,149.74,150.98,141.27,146.53,24436.67085
1.64E+12,16/12/2021 04:00,LTCUSD,153.34,153.34,148.25,149.74,1239.13379
1.64E+12,15/12/2021 04:00,LTCUSD,150.22,155.06,141.77,153.34,54689.2885
1.64E+12,14/12/2021 04:00,LTCUSD,145.82,151.78,143.36,150.22,18823.81866
1.64E+12,13/12/2021 04:00,LTCUSD,154.64,156.51,142.35,145.82,33943.26907
1.64E+12,12/12/2021 04:00,LTCUSD,156.4,162.97,152.98,154.64,20784.5473
1.64E+12,11/12/2021 04:00,LTCUSD,151.83,159.54,151.47,156.4,28208.60411
1.64E+12,10/12/2021 04:00,LTCUSD,153.96,156.75,145.83,151.83,14562.23301
1.64E+12,09/12/2021 04:00,LTCUSD,159.76,159.76,151.04,153.96,7985.3345
1.64E+12,08/12/2021 04:00,LTCUSD,160.1,170.25,156.24,159.76,92516.43347
1.64E+12,07/12/2021 04:00,LTCUSD,160.26,165.92,154.94,160.1,29973.86625
1.64E+12,06/12/2021 04:00,LTCUSD,154.71,164.59,141.55,160.26,53174.75895
1.64E+12,05/12/2021 04:00,LTCUSD,162.12,162.73,148.38,154.71,78018.37782
1.64E+12,04/12/2021 04:00,LTCUSD,175.97,181.81,130,162.12,174321.8379
1.64E+12,03/12/2021 04:00,LTCUSD,200.33,208.18,175.93,175.97,61821.87454
1.64E+12,02/12/2021 04:00,LTCUSD,202.57,207.43,198.56,200.33,11336.87216
1.64E+12,01/12/2021 04:00,LTCUSD,212.78,217.31,200.28,202.57,10777.24655
1.64E+12,30/11/2021 04:00,LTCUSD,203.62,220.03,197.82,212.78,35353.58177
1.64E+12,29/11/2021 04:00,LTCUSD,199.01,210.55,195.59,203.62,43401.73423
1.64E+12,28/11/2021 04:00,LTCUSD,189.31,202.96,182.51,199.01,33732.54458
1.64E+12,27/11/2021 04:00,LTCUSD,198.13,200.41,183.96,189.31,22361.6615
1.64E+12,26/11/2021 04:00,LTCUSD,216.23,217.89,190.33,198.13,100357.2099
1.64E+12,25/11/2021 04:00,LTCUSD,219.91,229.81,214.47,216.23,33019.14664
1.64E+12,24/11/2021 04:00,LTCUSD,210.58,223.16,206.19,219.91,26878.20769
1.64E+12,23/11/2021 04:00,LTCUSD,210.68,218.82,205.32,210.58,21184.63131
1.64E+12,22/11/2021 04:00,LTCUSD,215.11,220,205.47,210.68,17212.14718
1.64E+12,21/11/2021 04:00,LTCUSD,221.92,230.73,213.62,215.11,15717.06658
1.64E+12,20/11/2021 04:00,LTCUSD,221.67,228,213.16,221.92,16994.99807
1.64E+12,19/11/2021 04:00,LTCUSD,202,225.23,201.97,221.67,21664.47063
1.64E+12,18/11/2021 04:00,LTCUSD,221.82,221.82,199.69,202,22572.47151
1.64E+12,17/11/2021 04:00,LTCUSD,222.83,235.42,218.39,221.82,23292.53832
1.64E+12,16/11/2021 04:00,LTCUSD,244.77,249.18,219.97,222.83,48661.81791
1.64E+12,15/11/2021 04:00,LTCUSD,278.63,281.34,240.19,244.77,38024.43735
1.64E+12,14/11/2021 04:00,LTCUSD,255.79,279.84,248.61,278.63,24626.19353
1.64E+12,13/11/2021 04:00,LTCUSD,246.69,264.07,245.17,255.79,12130.73863
1.64E+12,12/11/2021 04:00,LTCUSD,275.87,275.87,245.54,246.69,8406.877244
1.64E+12,11/11/2021 04:00,LTCUSD,257.25,282.83,252.53,275.87,55549.59299
1.64E+12,10/11/2021 04:00,LTCUSD,257.42,295.26,250.82,257.25,127210.7287
1.64E+12,09/11/2021 04:00,LTCUSD,247.47,274.69,241.62,257.42,106902.2097
1.64E+12,08/11/2021 04:00,LTCUSD,205.8,247.56,205.8,247.47,61747.91036
1.64E+12,07/11/2021 04:00,LTCUSD,199.43,208.03,197.66,205.8,13221.4103
1.64E+12,06/11/2021 04:00,LTCUSD,200.29,200.35,191.35,199.43,13149.25184
1.64E+12,05/11/2021 04:00,LTCUSD,201.14,203.37,196.91,200.29,17064.14836
1.64E+12,04/11/2021 04:00,LTCUSD,203.6,204.08,197.24,201.14,13900.89174
1.64E+12,03/11/2021 04:00,LTCUSD,201.54,209.39,197.53,203.6,37079.98773
1.64E+12,02/11/2021 04:00,LTCUSD,195.96,204.94,195.55,201.54,23602.08526
1.64E+12,01/11/2021 04:00,LTCUSD,188.89,201.12,188.15,195.96,24043.06965
1.64E+12,31/10/2021 04:00,LTCUSD,192.75,194,186.98,188.89,15186.96051
1.64E+12,30/10/2021 04:00,LTCUSD,191.77,195.22,188.66,192.75,13609.19274
1.64E+12,29/10/2021 04:00,LTCUSD,193.05,198.75,189.23,191.77,18272.11913
1.64E+12,28/10/2021 04:00,LTCUSD,182.04,194.55,181.04,193.05,34842.09743
