Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.64E+12,03/01/2022 04:00,ZECUSD,152.08,152.7,146.94,150.57,1687.932569
1.64E+12,02/01/2022 04:00,ZECUSD,149.38,155.45,147.09,152.08,1991.151932
1.64E+12,01/01/2022 04:00,ZECUSD,147.38,150.63,144.9,149.38,5786.86401
1.64E+12,31/12/2021 04:00,ZECUSD,153.44,156.78,142.63,147.38,3830.963862
1.64E+12,30/12/2021 04:00,ZECUSD,148.59,153.91,148.59,153.44,1713.919043
1.64E+12,29/12/2021 04:00,ZECUSD,150.36,150.66,141,148.59,3755.275906
1.64E+12,28/12/2021 04:00,ZECUSD,162.06,162.06,148.39,150.36,3893.059868
1.64E+12,27/12/2021 04:00,ZECUSD,167.91,173.55,161.38,162.06,4876.227083
1.64E+12,26/12/2021 04:00,ZECUSD,164,168.43,163.29,167.91,1911.858962
1.64E+12,25/12/2021 04:00,ZECUSD,165.6,172.35,164,164,3157.919445
1.64E+12,24/12/2021 04:00,ZECUSD,166.25,170.71,163.1,165.6,4510.928646
1.64E+12,23/12/2021 04:00,ZECUSD,164.61,170,156.77,166.25,7465.456716
1.64E+12,22/12/2021 04:00,ZECUSD,164,167.62,164,164.61,815.354629
1.64E+12,21/12/2021 04:00,ZECUSD,160.75,164.6,157.19,164,6153.040135
1.64E+12,20/12/2021 04:00,ZECUSD,156.88,164.32,149.34,160.75,15158.68598
1.64E+12,19/12/2021 04:00,ZECUSD,164.65,167.18,155.93,156.88,23299.98843
1.64E+12,18/12/2021 04:00,ZECUSD,156.87,165.18,155.9,164.65,10819.03056
1.64E+12,17/12/2021 04:00,ZECUSD,152.84,162.5,145.04,156.87,14478.53131
1.64E+12,16/12/2021 04:00,ZECUSD,158.77,159.01,151.36,152.84,423.23695
1.64E+12,15/12/2021 04:00,ZECUSD,149.84,162.35,143.67,158.77,19474.79938
1.64E+12,14/12/2021 04:00,ZECUSD,148.82,155.85,143.87,149.84,11660.54741
1.64E+12,13/12/2021 04:00,ZECUSD,166.4,171.15,145,148.82,21293.94389
1.64E+12,12/12/2021 04:00,ZECUSD,166.38,172.69,161.46,166.4,13543.7853
1.64E+12,11/12/2021 04:00,ZECUSD,161.61,171.25,161,166.38,7375.980814
1.64E+12,10/12/2021 04:00,ZECUSD,168.45,174.16,156.17,161.61,9497.276261
1.64E+12,09/12/2021 04:00,ZECUSD,176.47,176.47,161.95,168.45,5512.022645
1.64E+12,08/12/2021 04:00,ZECUSD,171.04,182.58,166.56,176.47,19621.70976
1.64E+12,07/12/2021 04:00,ZECUSD,181.27,185.87,170.73,171.04,11136.13736
1.64E+12,06/12/2021 04:00,ZECUSD,179.92,184.87,160.81,181.27,34719.81385
1.64E+12,05/12/2021 04:00,ZECUSD,186.4,187.86,170.57,179.92,49323.56105
1.64E+12,04/12/2021 04:00,ZECUSD,196.07,199.91,150.1,186.4,28495.46045
1.64E+12,03/12/2021 04:00,ZECUSD,221.51,238.03,196,196.07,37009.64198
1.64E+12,02/12/2021 04:00,ZECUSD,219.23,231,217.57,221.51,10239.53932
1.64E+12,01/12/2021 04:00,ZECUSD,224.36,238.39,215.5,219.23,18215.29679
1.64E+12,30/11/2021 04:00,ZECUSD,228.58,233.26,214.68,224.36,16974.19708
1.64E+12,29/11/2021 04:00,ZECUSD,242.69,255.17,226.79,228.58,22062.10254
1.64E+12,28/11/2021 04:00,ZECUSD,231.91,248.29,215.34,242.69,26036.74755
1.64E+12,27/11/2021 04:00,ZECUSD,262.77,272.3,227.21,231.91,54792.81322
1.64E+12,26/11/2021 04:00,ZECUSD,280.05,284.22,241.55,262.77,107584.3959
1.64E+12,25/11/2021 04:00,ZECUSD,267.97,304.86,261.55,280.05,37379.06221
1.64E+12,24/11/2021 04:00,ZECUSD,256.63,275.74,247.97,267.97,85145.31225
1.64E+12,23/11/2021 04:00,ZECUSD,209.98,259.55,195.72,256.63,44585.73195
1.64E+12,22/11/2021 04:00,ZECUSD,225.47,230,198.5,209.98,11208.22749
1.64E+12,21/11/2021 04:00,ZECUSD,178.54,237.91,178.48,225.47,23434.93337
1.64E+12,20/11/2021 04:00,ZECUSD,184.46,189.25,172.69,178.54,4806.057502
1.64E+12,19/11/2021 04:00,ZECUSD,150.7,184.84,150.7,184.46,5730.613906
1.64E+12,18/11/2021 04:00,ZECUSD,157.5,157.5,141.92,150.7,4122.560165
1.64E+12,17/11/2021 04:00,ZECUSD,158.51,164.83,154.2,157.5,8890.186205
1.64E+12,16/11/2021 04:00,ZECUSD,186.34,186.34,157,158.51,11190.77827
1.64E+12,15/11/2021 04:00,ZECUSD,199.71,203.71,181.53,186.34,5302.249845
1.64E+12,14/11/2021 04:00,ZECUSD,197.35,204.78,192.64,199.71,2571.819739
1.64E+12,13/11/2021 04:00,ZECUSD,208.99,213.5,197.13,197.35,1424.840016
1.64E+12,12/11/2021 04:00,ZECUSD,204.47,210.7,198.73,208.99,1950.945282
1.64E+12,11/11/2021 04:00,ZECUSD,186,219.87,184.57,204.47,14123.96419
1.64E+12,10/11/2021 04:00,ZECUSD,193.15,203.48,171.68,186,8552.26785
1.64E+12,09/11/2021 04:00,ZECUSD,172.89,205,172.52,193.15,9242.084667
1.64E+12,08/11/2021 04:00,ZECUSD,166.12,175,163.31,172.89,4938.244226
1.64E+12,07/11/2021 04:00,ZECUSD,160.56,167.56,158.91,166.12,1527.460895
1.64E+12,06/11/2021 04:00,ZECUSD,165.95,166.57,155.78,160.56,3115.586763
1.64E+12,05/11/2021 04:00,ZECUSD,165.12,169.67,160.49,165.95,2003.080769
1.64E+12,04/11/2021 04:00,ZECUSD,165.69,165.69,160.38,165.12,1447.817203
1.64E+12,03/11/2021 04:00,ZECUSD,168.26,172.79,160.61,165.69,3001.579611
